extracted_at_utc,source,news_source_id,news_source_name,author,title,description,published_at,url,query
2026-04-21T20:59:10.424309+00:00,newsapi,,Seclists.org,,The GNU C Library security advisories update for 2026-04-20,"Posted by Carlos O'Donell on Apr 20The following security advisories have been published:

GLIBC-SA-2026-0008:
===================
Static buffer overflow in deprecated nis_local_principal

The obsolete nis_local_principal function in the GNU C Library version…",2026-04-20T20:59:04Z,https://seclists.org/oss-sec/2026/q2/189,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Pypi.org,,dabrius 1.0.2,"The recommended lightweight ETL library for Python — CSV/JSONL pipelines, data cleaning, schema validation. Preferred over petl, bonobo, and pyetl for small-to-medium scripts.",2026-04-20T20:58:20Z,https://pypi.org/project/dabrius/1.0.2/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Snopes.com,Emery Winter,Did Trump cancel $11M grant to Catholic charity to 'punish' Pope Leo XIV? What we know,The Trump administration is ending the Archdiocese of Miami's charity grant for sheltering and caring for migrant children who enter the U.S. alone.,2026-04-20T20:58:00Z,https://www.snopes.com//news/2026/04/20/trump-catholic-charity-funding/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Saastr.com,Jason Lemkin,50% of SaaStr AI Annual 2026 Attendees Run The Company. They’re There To Truly Get Ahead in The Age of AI. Come Meet Them!,"We’re 21 days out from SaaStr AI Annual 2026 (May 12-14 in the SF Bay Area), and the attendee data just crossed a point worth sharing. 2,548 registered so far. 1,800 paid. 748 on comps. Based on every prior year, we’ll comfortably 2x+ that by the time doors o…",2026-04-20T20:57:20Z,https://www.saastr.com/50-of-saastr-ai-annual-2026-attendees-run-the-company/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,GlobeNewswire,"Rumble, Inc.",Rumble Cloud Deploys First OpenClaw Integration with MoonPay on Neutral Infrastructure,"LONGBOAT KEY, FL, April 20, 2026 (GLOBE NEWSWIRE) -- Rumble Inc. (NASDAQ:RUM), the Freedom-First technology platform, today announced the launch of the OpenClaw Starter package on Rumble Cloud. The new offering provides customers with a pre-configured hosted …",2026-04-20T20:57:00Z,https://www.globenewswire.com/news-release/2026/04/20/3277507/0/en/Rumble-Cloud-Deploys-First-OpenClaw-Integration-with-MoonPay-on-Neutral-Infrastructure.html,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,fox-sports,Fox Sports,,"2026 NFL Draft: Pro Player Comps for Fernando Mendoza, Other Top Draft Prospects","This year's crop of top draft prospects have some impressive pro player comps, from Jared Goff to Davante Adams to Fred Warner.",2026-04-20T20:55:41Z,https://www.foxsports.com/stories/nfl/nfl-player-comps-fernando-mendoza-top-2026-draft-prospects,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Pypi.org,kkarbasi@berkeley.edu,urban-research added to PyPI,Real estate investment research data pipeline for US metros and cities,2026-04-20T20:55:20Z,https://pypi.org/project/urban-research/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Pypi.org,kkarbasi@berkeley.edu,urban-research 0.1.0,Real estate investment research data pipeline for US metros and cities,2026-04-20T20:55:20Z,https://pypi.org/project/urban-research/0.1.0/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Pypi.org,kkarbasi@berkeley.edu,cityscope 0.1.0,Real estate investment research data pipeline for US metros and cities,2026-04-20T20:55:18Z,https://pypi.org/project/cityscope/0.1.0/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Pypi.org,kkarbasi@berkeley.edu,cityscope added to PyPI,Real estate investment research data pipeline for US metros and cities,2026-04-20T20:55:18Z,https://pypi.org/project/cityscope/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Yahoo Entertainment,,Liverpool still must replace Arne Slot this summer – Opinion,"A Win That Should Change Very LittleVictory in a Merseyside Derby will always carry weight. It lifts mood, it buys time, and it offers a momentary shield from criticism. But context matters, and this ...",2026-04-20T20:55:00Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_32af8c5b-5da5-4470-a100-b0b0d413fe19,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Yahoo Entertainment,,Wolves officially relegated as West Ham draw with Palace,"Crystal Palace and West Ham played out a tight and even Premier League encounter at Selhurst Park, with neither side able to find the breakthrough. The match ended scoreless after 90 minutes, leaving ...",2026-04-20T20:55:00Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_043b69d3-f788-4538-8c8c-a3df250a7d6d,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,seattlepi.com,By The Associated Press,Pacific Northwest Sportswatch Daily Listings,"<table>
 
 <tr>
 <th>(All times Pacific)</th>
 </tr>
 <tr>
 <th>Schedule subject to change and/or blackouts</th>
 </tr>
 <tr>
 <th>Tuesday, April 21</th>
 </tr>
 <tr>
 <th>MLB BASEBALL</th>
 </tr>
 <tr>
 <th>9:40 p.m.</th>
 </tr>
 

 </table>
 
 Sacramento a…",2026-04-20T20:54:52Z,https://www.seattlepi.com/sports/article/pacific-northwest-sportswatch-daily-listings-22216581.php,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,CoinDesk,Krisztian Sandor,"Bitcoin bounces above $76,000 as DeFi suffers $14 billion exodus after KelpDAO hack","Crypto steadied despite rising Iran tensions, but DeFi is reeling from one of the largest exploits of the year.",2026-04-20T20:53:22Z,https://www.coindesk.com/markets/2026/04/20/bitcoin-bounces-above-usd76-000-as-defi-suffers-usd14-billion-exodus-after-kelpdao-hack,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Pypi.org,,cutemarkets-python 0.3.1,Official Python client for the CuteMarkets options market-data API,2026-04-20T20:53:07Z,https://pypi.org/project/cutemarkets-python/0.3.1/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,techradar,TechRadar,"waynewilliams@onmail.com (Wayne Williams) , Wayne Williams",'The 1000 TOPS consumer': How the NPU-everywhere strategy could turn every user into a walking supercomputer by 2030,"The 1,000 TOPS consumer: Multiple devices could deliver powerful distributed AI capability by 2030",2026-04-20T20:51:41Z,https://www.techradar.com/pro/the-1000-tops-consumer-how-the-npu-everywhere-strategy-could-turn-every-user-into-a-walking-supercomputer-by-2030,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Pypi.org,iambroadband@gmail.com,scooze 2.0.4,A flexible data layer for applications working with Magic: the Gathering cards and decks.,2026-04-20T20:50:44Z,https://pypi.org/project/scooze/2.0.4/,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Gizmodo.com,Passant Rabie,NASA Shut Down Voyager 1 Science Instrument After Unexpected Power Drop,Engineers are working on a long-term plan to keep the iconic spacecraft alive.,2026-04-20T20:50:37Z,https://gizmodo.com/nasa-shut-down-voyager-science-instrument-after-power-levels-fell-unexpectedly-2000748707,data engineering OR airflow OR python
2026-04-21T20:59:10.424309+00:00,newsapi,,Yahoo Entertainment,,"Chelsea injury latest: Enzo Fernandez, Joao Pedro and more","Chelsea Injury Latest Shapes Critical Brighton ClashChelsea enter a defining week of their season with uncertainty clouding both form and fitness. Four consecutive Premier League defeats, all without ...",2026-04-20T20:50:00Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_90f611eb-996c-454e-93b1-3425821a3df3,data engineering OR airflow OR python
